event_name, event_url, event_venue, event_category
The Lion King Broadway, https://www.hellotickets.co.uk/us/new-york/theatre/the-lion-king-broadway-tickets/96, Minskoff Theatre, Theatre
New York Rangers, https://www.hellotickets.co.uk/us/new-york/sports/new-york-rangers-tickets/230, Madison Square Garden, Sports
New York Knicks, https://www.hellotickets.co.uk/us/new-york/sports/new-york-knicks-tickets/242, Madison Square Garden, Sports
Hamilton, https://www.hellotickets.co.uk/us/new-york/theatre/hamilton-tickets/426, Richard Rodgers Theatre, Theatre
Billy Joel, https://www.hellotickets.co.uk/us/new-york/concerts/billy-joel-tickets/579, Madison Square Garden, Concerts
Aladdin Broadway, https://www.hellotickets.co.uk/us/new-york/theatre/aladdin-broadway-tickets/661, New Amsterdam Theatre, Theatre
New York Islanders, https://www.hellotickets.co.uk/us/new-york/sports/new-york-islanders-tickets/722, UBS Arena, Sports
Brooklyn Nets, https://www.hellotickets.co.uk/us/new-york/sports/brooklyn-nets-tickets/781, Barclays Center, Sports
New York Yankees, https://www.hellotickets.co.uk/us/new-york/sports/new-york-yankees-tickets/790, Yankee Stadium, Sports
New York City FC, https://www.hellotickets.co.uk/us/new-york/sports/new-york-city-fc-tickets/791, Yankee Stadium, Sports
New York Mets, https://www.hellotickets.co.uk/us/new-york/sports/new-york-mets-tickets/902, Citi Field, Sports
Wicked, https://www.hellotickets.co.uk/us/new-york/theatre/wicked-tickets/2590, Gershwin Theatre, Theatre
The Book Of Mormon, https://www.hellotickets.co.uk/us/new-york/theatre/the-book-of-mormon-tickets/16261, Eugene O'Neill Theatre, Theatre
Chicago - The Musical, https://www.hellotickets.co.uk/us/new-york/theatre/chicago-the-musical-tickets/16763, Ambassador Theatre, Theatre
Blue Man Group, https://www.hellotickets.co.uk/us/new-york/theatre/blue-man-group-tickets/16793, Astor Place Theatre, Theatre
Monster Jam, https://www.hellotickets.co.uk/us/new-york/sports/monster-jam-tickets/17767, Prudential Center, Sports
Monster Jam, https://www.hellotickets.co.uk/us/new-york/sports/monster-jam-tickets/20794, MetLife Stadium, Sports
Andrea Bocelli, https://www.hellotickets.co.uk/us/new-york/concerts/andrea-bocelli-tickets/20922, Madison Square Garden, Concerts
Janet Jackson, https://www.hellotickets.co.uk/us/new-york/concerts/janet-jackson-tickets/29424, Barclays Center, Concerts
Janet Jackson, https://www.hellotickets.co.uk/us/new-york/concerts/janet-jackson-tickets/29431, Prudential Center, Concerts
Radio City Christmas Spectacular, https://www.hellotickets.co.uk/us/new-york/theatre/radio-city-christmas-spectacular-tickets/31819, Radio City Music Hall, Theatre
New York City Ballet, https://www.hellotickets.co.uk/us/new-york/concerts/new-york-city-ballet-tickets/34688, David H Koch Theater, Concerts
Amateur Night At The Apollo, https://www.hellotickets.co.uk/us/new-york/concerts/amateur-night-at-the-apollo-tickets/131797, Apollo Theater  New York, Concerts
Justin Timberlake, https://www.hellotickets.co.uk/us/new-york/concerts/justin-timberlake-tickets/132180, Madison Square Garden, Concerts
Legends Classic, https://www.hellotickets.co.uk/us/new-york/sports/legends-classic-tickets/137407, Barclays Center, Sports
Notre Dame Fighting Irish, https://www.hellotickets.co.uk/us/new-york/sports/notre-dame-fighting-irish-tickets/137663, Yankee Stadium, Sports
New York Giants, https://www.hellotickets.co.uk/us/new-york/sports/new-york-giants-tickets/137705, MetLife Stadium, Sports
New York Jets, https://www.hellotickets.co.uk/us/new-york/sports/new-york-jets-tickets/137706, MetLife Stadium, Sports
Kevin Hart, https://www.hellotickets.co.uk/us/new-york/concerts/kevin-hart-tickets/137711, Prudential Center, Concerts
New Jersey Devils, https://www.hellotickets.co.uk/us/new-york/sports/new-jersey-devils-tickets/137849, Prudential Center, Sports
Alvin Ailey American Dance Theater, https://www.hellotickets.co.uk/us/new-york/theatre/alvin-ailey-american-dance-theater-tickets/138387, New Jersey Performing Arts Center  Prudential Hall, Theatre
Sebastian Maniscalco, https://www.hellotickets.co.uk/us/new-york/concerts/sebastian-maniscalco-tickets/146460, Madison Square Garden, Concerts
New York Red Bulls, https://www.hellotickets.co.uk/us/new-york/sports/new-york-red-bulls-tickets/147181, Red Bull Arena  NJ, Sports
Buffalo Bills, https://www.hellotickets.co.uk/us/new-york/sports/buffalo-bills-tickets/149185, New Era Field, Sports
Monster Jam, https://www.hellotickets.co.uk/us/new-york/sports/monster-jam-tickets/151234, Times Union Center, Sports
Lez Zeppelin, https://www.hellotickets.co.uk/us/new-york/concerts/lez-zeppelin-tickets/157032, Gramercy Theatre, Concerts
Iron Maiden, https://www.hellotickets.co.uk/us/new-york/concerts/iron-maiden-tickets/161042, Barclays Center, Concerts
Roberto Carlos, https://www.hellotickets.co.uk/us/new-york/concerts/roberto-carlos-tickets/161463, Radio City Music Hall, Concerts
Moulin Rouge, https://www.hellotickets.co.uk/us/new-york/theatre/moulin-rouge-tickets/163342, Hirschfeld Theatre, Theatre
Hadestown, https://www.hellotickets.co.uk/us/new-york/theatre/hadestown-tickets/166927, Walter Kerr Theatre, Theatre
The Rolling Stones: Hackney Diamonds US Tour, https://www.hellotickets.co.uk/us/new-york/concerts/the-rolling-stones-tickets/166992, MetLife Stadium, Concerts
The Play That Goes Wrong , https://www.hellotickets.co.uk/us/new-york/theatre/the-play-that-goes-wrong-tickets/169619, New World Stages Stage 4, Theatre
Jennifer Lopez, https://www.hellotickets.co.uk/us/new-york/concerts/jennifer-lopez-tickets/175893, Prudential Center, Concerts
Jennifer Lopez, https://www.hellotickets.co.uk/us/new-york/concerts/jennifer-lopez-tickets/175894, Madison Square Garden, Concerts
New York Liberty, https://www.hellotickets.co.uk/us/new-york/sports/new-york-liberty-tickets/185001, Barclays Center, Sports
Grupo Niche, https://www.hellotickets.co.uk/us/new-york/concerts/grupo-niche-tickets/188487, Kupferberg Center for the Arts - Colden Auditorium, Concerts
Metropolitan Opera, https://www.hellotickets.co.uk/us/new-york/concerts/metropolitan-opera-tickets/202164, Metropolitan Opera at Lincoln Center, Concerts
WWE: Smackdown, https://www.hellotickets.co.uk/us/new-york/sports/wwe-smackdown-tickets/203725, Madison Square Garden, Sports
Little Shop Of Horrors, https://www.hellotickets.co.uk/us/new-york/theatre/little-shop-of-horrors-tickets/204440, Westside Theatre Upstairs, Theatre
New York City FC, https://www.hellotickets.co.uk/us/new-york/sports/new-york-city-fc-tickets/219033, Citi Field, Sports
American Ballet Theatre, https://www.hellotickets.co.uk/us/new-york/concerts/american-ballet-theatre-tickets/223342, Metropolitan Opera at Lincoln Center, Concerts
Pearl Jam, https://www.hellotickets.co.uk/us/new-york/concerts/pearl-jam-tickets/231537, Madison Square Garden, Concerts
Back To The Future, https://www.hellotickets.co.uk/us/new-york/theatre/back-to-the-future-tickets/231838, Winter Garden Theatre  New York, Theatre
Lindsey Stirling, https://www.hellotickets.co.uk/us/new-york/concerts/lindsey-stirling-tickets/241310, Radio City Music Hall, Concerts
Six The Musical, https://www.hellotickets.co.uk/us/new-york/theatre/six-the-musical-tickets/244835, Lena Horne Theatre, Theatre
