performance_id, performance_name
1905459, Hamilton
1905452, Hamilton
1905457, Hamilton
1905461, Hamilton
1915626, Aladdin Broadway
1915690, Aladdin Broadway
1915682, Aladdin Broadway
1915629, Aladdin Broadway
1915673, Aladdin Broadway
1915667, Aladdin Broadway
1915668, Aladdin Broadway
1915674, Aladdin Broadway
1915630, Aladdin Broadway
1915683, Aladdin Broadway
1915631, Aladdin Broadway
1915636, Aladdin Broadway
1915676, Aladdin Broadway
1948704, Wicked
1948705, Wicked
1948706, Wicked
1948707, Wicked
1948708, Wicked
1948709, Wicked
1948710, Wicked
1948712, Wicked
1948714, Wicked
1948716, Wicked
1948717, Wicked
1948718, Wicked
1966290, The Book Of Mormon
1966002, The Book Of Mormon
1966011, The Book Of Mormon
1966010, The Book Of Mormon
1966015, The Book Of Mormon
1966019, The Book Of Mormon
1966023, The Book Of Mormon
1966012, The Book Of Mormon
1991311, The Book Of Mormon
1991312, The Book Of Mormon
1991325, The Book Of Mormon
1991290, The Book Of Mormon
1991291, The Book Of Mormon
1991292, The Book Of Mormon
1908050, Chicago - The Musical
1908103, Chicago - The Musical
1908104, Chicago - The Musical
1908051, Chicago - The Musical
1908052, Chicago - The Musical
1908053, Chicago - The Musical
1908054, Chicago - The Musical
1908055, Chicago - The Musical
1908056, Chicago - The Musical
1908124, Chicago - The Musical
1908106, Chicago - The Musical
1908057, Chicago - The Musical
1909215, Chicago - The Musical
1909168, Chicago - The Musical
1911416, Blue Man Group
1911419, Blue Man Group
1994915, Blue Man Group
1911418, Blue Man Group
1911417, Blue Man Group
1911420, Blue Man Group
1911500, Blue Man Group
1911421, Blue Man Group
1911466, Blue Man Group
1911422, Blue Man Group
1911476, Blue Man Group
1911426, Blue Man Group
1911424, Blue Man Group
1911423, Blue Man Group
1911477, Blue Man Group
1911478, Blue Man Group
1911468, Blue Man Group
1911502, Blue Man Group
1911425, Blue Man Group
1911428, Blue Man Group
1931235, Moulin Rouge
1931179, Moulin Rouge
1931178, Moulin Rouge
1931180, Moulin Rouge
1931176, Moulin Rouge
1931181, Moulin Rouge
1931177, Moulin Rouge
1931264, Moulin Rouge
1931182, Moulin Rouge
1931250, Moulin Rouge
1931237, Moulin Rouge
1931236, Moulin Rouge
1931183, Moulin Rouge
1931186, Moulin Rouge
1931187, Moulin Rouge
1903017, Hadestown
1903000, Hadestown
1903001, Hadestown
1903039, Hadestown
1903040, Hadestown
1903041, Hadestown
1903058, Hadestown
1903059, Hadestown
1903002, Hadestown
1903035, Hadestown
1903057, Hadestown
1903070, Hadestown
1903088, Hadestown
1903071, Hadestown
1992756, The Play That Goes Wrong 
1992763, The Play That Goes Wrong 
1992764, The Play That Goes Wrong 
1992765, The Play That Goes Wrong 
1992766, The Play That Goes Wrong 
1992770, The Play That Goes Wrong 
1992757, The Play That Goes Wrong 
1992772, The Play That Goes Wrong 
1992769, The Play That Goes Wrong 
1992773, The Play That Goes Wrong 
1992758, The Play That Goes Wrong 
1992771, The Play That Goes Wrong 
1992767, The Play That Goes Wrong 
1992774, The Play That Goes Wrong 
1992759, The Play That Goes Wrong 
1792210, Little Shop Of Horrors
1792212, Little Shop Of Horrors
1792211, Little Shop Of Horrors
1792218, Little Shop Of Horrors
1792220, Little Shop Of Horrors
1792217, Little Shop Of Horrors
1792222, Little Shop Of Horrors
1792221, Little Shop Of Horrors
